date,open,high,low,close,adj_close,volume
2021-08-25,90.75,91.39,90.725,91.11,84.36,50555
2021-08-26,91.05,91.99,90.93,91.8,85.0,117190
2021-08-27,92.16,92.57,91.78,92.085,85.26,52164
2021-08-30,92.09,92.8,91.84,92.39,85.54,49945
2021-08-31,92.28,92.64,91.87,92.26,85.42,56418
2021-09-01,92.0,92.0,90.97,91.45,84.67,55757
2021-09-02,91.855,92.445,91.705,92.08,85.25,95706
2021-09-03,91.99,92.44,91.58,91.84,85.03,41439
2021-09-07,91.39,91.41,89.27,89.41,82.78,99564
2021-09-08,89.43,91.045,89.13,90.705,83.98,81669
2021-09-09,90.63,91.22,90.17,90.44,83.74,69642
2021-09-10,90.945,91.24,90.22,90.57,83.86,77156
2021-09-13,91.37,91.62,89.41,89.96,83.29,160718
2021-09-14,90.13,90.78,89.29,90.38,83.68,175042
2021-09-15,90.25,90.43,89.5,90.3,83.61,113662
2021-09-16,90.26,90.29,87.64,88.2,81.66,198461
2021-09-17,87.325,87.325,84.89,85.08,78.77,330011
2021-09-20,83.83,84.39,82.32,83.18,77.01,203983
2021-09-21,83.295,84.1,81.93,81.95,75.88,283692
2021-09-22,84.45,85.44,84.16,84.28,78.03,209365
2021-09-23,84.5,86.79,84.16,85.74,79.38,179561
2021-09-24,85.375,86.045,84.58,84.83,78.54,142622
2021-09-27,85.0,85.0,84.15,84.22,77.98,70613
2021-09-28,83.52,84.15,82.86,83.63,77.43,161021
2021-09-29,84.11,84.19,83.14,83.32,77.14,63049
2021-09-30,83.935,84.03,82.27,82.27,76.17,112942
2021-10-01,82.55,82.94,81.05,82.38,76.27,66072
2021-10-04,82.78,83.115,81.615,81.89,75.82,124388
2021-10-05,82.11,83.74,81.85,83.36,77.18,77186
2021-10-06,83.11,83.11,81.24,82.85,76.71,80804
2021-10-07,84.43,85.1,84.29,84.38,78.13,116426
2021-10-08,83.87,84.28,82.655,83.42,77.24,90377
2021-10-11,83.33,83.415,81.57,81.64,75.59,90391
2021-10-12,81.85,82.05,81.315,81.93,75.86,143191
2021-10-13,82.025,82.27,81.14,81.27,75.25,83967
2021-10-14,82.19,83.48,82.09,83.4,77.22,107245
2021-10-15,83.79,84.68,83.555,84.065,77.83,103681
2021-10-18,83.37,83.83,82.99,83.32,77.14,67326
2021-10-19,84.035,84.72,83.79,84.4,78.14,70085
2021-10-20,84.44,86.46,84.34,85.4,79.07,283978
2021-10-21,84.385,85.38,83.49,85.38,79.05,118682
2021-10-22,85.645,86.71,85.44,85.67,79.32,131045
2021-10-26,82.22,82.33,79.84,80.365,74.41,209570
2021-10-27,80.71,80.82,79.5,79.71,73.8,157077
2021-10-28,79.435,80.16,78.61,79.89,73.97,128903
2021-10-29,79.74,81.46,79.54,80.32,74.37,118651
2021-11-01,80.56,81.16,80.175,80.94,74.94,89168
2021-11-02,81.275,81.45,80.17,81.13,75.12,69890
2021-11-03,81.42,81.76,79.615,80.61,74.63,94384
2021-11-04,81.065,81.835,81.065,81.78,75.72,95521
2021-11-05,82.3,82.7,81.56,81.72,75.66,100652
2021-11-08,82.03,82.27,81.44,82.21,76.12,91364
2021-11-09,82.32,83.65,82.3,83.54,77.35,129720
2021-11-10,84.0,84.18,83.29,83.375,77.19,139988
2021-11-11,83.495,83.65,82.785,83.41,77.23,155897
2021-11-12,83.6,85.62,83.4,85.55,79.21,109734
2021-11-15,85.29,85.56,83.94,84.14,77.9,55315
2021-11-16,84.24,84.9,84.24,84.49,78.23,45560
2021-11-17,84.53,86.045,84.095,85.54,79.2,114994
2021-11-18,84.9,86.4,84.72,86.35,80.17,80407
2021-11-19,86.425,87.81,86.075,86.27,80.1,110688
2021-11-22,86.0,86.07,83.9,84.21,78.19,102057
2021-11-23,83.97,84.34,83.575,83.81,77.82,55189
2021-11-24,83.77,84.54,82.95,84.45,78.41,45332
2021-11-26,82.86,84.06,82.6,83.18,77.23,36525
2021-11-29,83.74,84.3,82.99,83.66,77.68,45655
2021-11-30,83.33,83.51,80.165,80.42,74.67,83164
2021-12-01,81.5,83.315,80.45,80.45,74.7,122873
2021-12-02,81.0,83.035,81.0,82.92,76.99,90268
2021-12-03,83.3,83.37,81.94,82.75,76.83,104507
2021-12-06,83.28,84.46,82.71,84.02,78.01,141788
2021-12-07,84.77,86.255,84.73,85.695,79.57,88248
2021-12-08,85.56,86.5,84.72,86.21,80.04,94884
2021-12-09,85.78,86.56,85.17,86.18,80.02,76541
2021-12-10,86.155,86.55,85.795,86.08,79.92,135777
2021-12-13,86.51,86.51,84.83,85.35,79.25,142010
2021-12-14,85.11,85.39,84.1,84.83,78.76,222187
2021-12-15,85.14,85.14,83.57,84.93,78.86,103084
2021-12-16,85.61,86.855,85.52,86.61,80.42,90764
2021-12-17,86.34,86.6,84.02,84.16,78.14,92740
2021-12-20,83.07,83.16,80.64,82.33,76.44,130625
2021-12-21,83.01,84.27,82.91,84.18,78.16,68551
2021-12-22,84.245,84.55,83.65,84.31,78.28,50589
2021-12-23,84.47,85.565,84.43,85.24,79.14,45317
2021-12-27,85.65,86.525,85.64,86.525,80.34,29475
2021-12-28,86.5,86.69,86.22,86.44,80.26,19221
2021-12-29,86.34,87.23,86.34,86.81,80.6,27209
2021-12-30,86.955,87.24,86.3,86.4,80.22,27395
2021-12-31,86.18,87.53,86.18,87.04,80.81,35211
2022-01-03,87.625,88.14,84.62,85.555,79.44,78741
2022-01-04,85.42,86.43,85.13,86.23,80.06,50876
2022-01-05,86.24,87.04,83.73,83.76,77.77,100950
2022-01-06,84.05,84.93,84.01,84.72,78.66,79991
2022-01-07,84.485,85.23,84.24,84.37,78.34,146191
2022-01-10,83.865,84.665,82.5,84.665,78.61,91518
2022-01-11,85.23,86.275,84.205,86.24,80.07,94198
2022-01-12,86.64,87.34,86.15,86.95,80.73,127205
2022-01-13,87.44,87.64,85.55,85.71,79.58,122245
2022-01-14,85.56,85.64,83.07,84.19,78.17,192316
2022-01-18,82.91,84.14,81.8,83.85,77.85,132000
2022-01-19,84.12,84.44,82.885,83.1,77.16,69938
2022-01-20,83.48,84.03,81.85,82.205,76.33,72881
2022-01-21,82.01,83.88,81.68,83.1,77.16,135433
2022-01-24,81.74,81.74,80.14,80.83,75.05,56672
2022-01-25,81.675,83.62,80.93,82.97,77.04,207111
2022-01-26,83.495,84.61,81.05,81.53,75.7,251581
2022-01-27,82.14,83.385,81.3,82.63,76.72,210064
2022-01-28,82.025,82.79,80.85,82.79,76.87,138711
