date,open,high,low,close,adj_close,volume
2021-06-09,63.08,63.58,63.06,63.33,55.66,152899
2021-06-10,63.35,63.85,63.3,63.64,55.93,124079
2021-06-11,63.79,63.815,63.4,63.79,56.06,88773
2021-06-14,63.49,63.79,63.25,63.79,56.06,165591
2021-06-15,63.84,63.91,63.51,63.63,55.92,213408
2021-06-16,63.345,63.79,62.72,62.735,55.13,256588
2021-06-17,62.75,63.35,62.595,63.2,55.54,271700
2021-06-18,63.13,63.14,62.06,62.16,54.63,360732
2021-06-21,62.315,62.795,62.315,62.68,55.08,166867
2021-06-22,62.68,63.04,62.56,62.89,55.27,158206
2021-06-23,62.51,62.79,62.325,62.33,54.78,180948
2021-06-24,62.235,62.895,61.96,62.68,55.08,166522
2021-06-25,62.49,63.2,62.44,63.185,55.53,139794
2021-06-28,63.17,63.475,63.08,63.17,55.51,156361
2021-06-29,62.91,63.005,62.16,62.32,55.04,108366
2021-06-30,62.25,62.55,62.21,62.45,55.16,81866
2021-07-01,62.51,62.755,62.265,62.45,55.16,127638
2021-07-02,62.66,62.845,62.53,62.565,55.26,105145
2021-07-06,62.35,62.405,61.81,62.335,55.06,142599
2021-07-07,62.45,63.3,62.43,63.02,55.66,172292
2021-07-08,63.08,63.52,62.6,62.94,55.59,156724
2021-07-09,63.04,63.205,62.85,63.0,55.64,145401
2021-07-12,62.92,63.025,62.655,62.955,55.6,196149
2021-07-13,63.07,63.595,62.935,63.065,55.7,197720
2021-07-14,63.37,63.725,63.0,63.48,56.07,215900
2021-07-15,63.58,64.17,63.37,64.14,56.65,239839
2021-07-16,64.12,64.445,64.03,64.25,56.75,214689
2021-07-19,64.72,64.95,63.44,64.02,56.54,191023
2021-07-20,64.29,64.91,64.29,64.445,56.92,198078
2021-07-21,64.6,64.6,63.955,64.0,56.53,117791
2021-07-22,63.85,64.01,63.47,63.84,56.38,185721
2021-07-23,63.985,65.1,63.89,64.9,57.32,210780
2021-07-26,64.77,65.085,64.665,64.84,57.27,237915
2021-07-27,64.97,65.59,64.73,65.235,57.62,140640
2021-07-28,64.175,64.64,63.2,63.42,56.01,321304
2021-07-29,63.59,63.935,63.24,63.32,55.93,239680
2021-07-30,63.35,63.645,63.13,63.25,55.86,133420
2021-08-02,63.565,63.85,63.33,63.48,56.07,137726
2021-08-03,63.45,63.58,63.255,63.36,55.96,98507
2021-08-04,63.23,63.31,61.55,61.73,54.52,319439
2021-08-05,61.86,62.065,61.635,61.84,54.62,164101
2021-08-06,61.94,62.095,61.605,61.735,54.53,161238
2021-08-09,62.0,62.24,61.91,62.015,54.77,84561
2021-08-10,62.02,62.33,61.82,62.03,54.79,170668
2021-08-11,62.16,62.775,62.0,62.46,55.17,121582
2021-08-12,62.54,62.58,62.23,62.39,55.1,61822
2021-08-13,62.64,63.405,62.51,63.365,55.97,112021
2021-08-16,63.56,63.93,63.355,63.69,56.25,135061
2021-08-17,63.72,64.11,63.525,64.05,56.57,178919
2021-08-18,63.89,64.05,62.915,62.96,55.61,230487
2021-08-19,62.92,63.695,62.83,63.695,56.26,133036
2021-08-20,63.64,63.83,63.33,63.5,56.08,90688
2021-08-23,63.47,63.51,62.975,63.065,55.7,99792
2021-08-24,62.98,62.98,62.105,62.24,54.97,146608
2021-08-25,62.22,62.22,61.715,61.86,54.64,174270
2021-08-26,61.8,61.84,61.295,61.45,54.27,181676
2021-08-27,61.46,62.1,61.33,61.905,54.68,102171
2021-08-30,61.7,62.23,61.7,62.17,54.91,165186
2021-08-31,62.24,62.33,61.765,62.07,54.82,138032
2021-09-01,62.335,62.51,62.045,62.31,55.03,98400
2021-09-02,62.44,62.5,61.685,61.93,54.7,182372
2021-09-03,61.79,61.905,61.055,61.72,54.51,213939
2021-09-07,61.53,61.56,59.95,60.04,53.03,170544
2021-09-08,60.11,60.935,59.94,60.87,53.76,203984
2021-09-09,60.89,60.89,60.545,60.615,53.54,176354
2021-09-10,60.5,60.58,60.095,60.24,53.21,233288
2021-09-13,60.58,61.415,60.55,60.81,53.71,172102
2021-09-14,60.855,60.88,60.205,60.37,53.32,89309
2021-09-15,60.28,60.66,60.08,60.51,53.44,220335
2021-09-16,60.64,60.925,60.085,60.71,53.62,247461
2021-09-17,60.39,61.175,60.21,60.94,53.82,483267
2021-09-20,60.81,61.05,60.01,60.44,53.38,132626
2021-09-21,60.68,61.115,60.12,60.26,53.22,162736
2021-09-22,60.62,60.965,60.36,60.55,53.48,129552
2021-09-23,60.56,61.11,60.545,60.73,53.64,155701
2021-09-24,60.565,60.7,60.22,60.37,53.32,284562
2021-09-27,60.165,60.53,59.395,59.48,52.53,202978
2021-09-28,59.22,59.22,58.21,58.72,51.86,221074
2021-09-29,58.29,59.48,58.04,59.06,52.48,229560
2021-09-30,59.26,59.27,58.17,58.17,51.69,158510
2021-10-01,58.34,58.535,57.73,58.2,51.71,118834
2021-10-04,58.11,58.76,57.64,58.06,51.59,168468
2021-10-05,58.09,59.105,57.94,58.81,52.25,250937
2021-10-06,58.885,60.24,58.39,60.22,53.51,228953
2021-10-07,60.15,60.34,59.795,59.9,53.22,129143
2021-10-08,59.92,59.97,59.41,59.52,52.88,122397
2021-10-11,59.76,59.835,59.355,59.44,52.81,279418
2021-10-12,59.56,59.905,59.43,59.68,53.03,173381
2021-10-13,59.85,60.36,59.37,59.98,53.29,138153
2021-10-14,60.245,60.735,60.195,60.63,53.87,141969
2021-10-15,60.59,60.62,59.76,60.15,53.44,293644
2021-10-18,59.78,60.1,59.36,59.74,53.08,158298
2021-10-19,59.81,59.88,59.33,59.79,53.12,188344
2021-10-20,59.94,60.53,59.87,60.3,53.58,202576
2021-10-21,60.1,60.295,59.755,60.17,53.46,173056
2021-10-22,60.25,60.59,60.18,60.52,53.77,119129
2021-10-25,60.68,60.7,60.13,60.34,53.61,139310
2021-10-26,60.32,61.07,60.18,60.855,54.07,88197
2021-10-27,60.95,60.95,60.135,60.39,53.66,152898
2021-10-28,60.24,60.96,60.24,60.95,54.16,133351
2021-10-29,60.79,61.15,60.65,60.72,53.95,151373
2021-11-01,60.63,61.335,60.58,60.91,54.12,200618
2021-11-02,60.82,61.375,60.37,61.37,54.53,122193
2021-11-03,63.05,63.39,61.92,62.365,55.41,237557
2021-11-04,61.81,62.42,61.73,62.11,55.19,146762
2021-11-05,62.44,62.71,62.14,62.24,55.3,65234
2021-11-08,62.4,62.4,61.52,61.88,54.98,61598
2021-11-09,61.91,62.34,61.7,62.24,55.3,88415
2021-11-10,62.545,62.96,62.365,62.75,55.75,258814
2021-11-11,62.56,62.71,62.11,62.46,55.5,103702
2021-11-12,62.6,63.175,62.305,62.81,55.81,187668
2021-11-15,62.79,62.945,62.53,62.875,55.87,76688
2021-11-16,62.99,63.335,62.435,62.45,55.49,221877
2021-11-17,62.27,62.44,61.97,62.17,55.24,299418
2021-11-18,62.0,62.585,61.89,62.32,55.37,157044
2021-11-19,62.455,62.48,60.45,60.495,53.75,283746
2021-11-22,60.315,61.35,59.98,60.99,54.19,148167
2021-11-23,60.99,61.575,60.92,61.42,54.57,174501
2021-11-24,61.445,61.78,60.96,61.32,54.48,91764
2021-11-26,61.17,61.38,60.12,60.28,53.56,120307
2021-11-29,60.44,60.73,59.915,60.61,53.85,182198
2021-11-30,60.365,60.37,58.835,58.94,52.37,170856
2021-12-01,59.51,59.74,58.51,58.55,52.02,108020
2021-12-02,58.845,59.86,58.73,59.47,52.84,148656
2021-12-03,59.84,60.55,59.715,60.23,53.52,162821
2021-12-06,60.8,61.715,60.76,61.42,54.57,104268
2021-12-07,61.42,61.92,61.24,61.41,54.56,230997
2021-12-08,61.315,61.32,60.035,60.86,54.08,167841
2021-12-09,60.86,61.055,60.54,60.99,54.19,83976
2021-12-10,61.46,62.395,61.13,62.26,55.32,144724
2021-12-13,62.45,63.5,61.94,63.18,56.14,195799
2021-12-14,63.29,63.43,62.98,63.41,56.34,338944
2021-12-15,63.49,64.97,63.49,64.81,57.58,290019
2021-12-16,64.74,66.04,64.35,65.68,58.36,321311
2021-12-17,65.63,66.045,64.93,64.94,57.7,265154
2021-12-20,64.75,64.945,64.39,64.77,57.55,186481
2021-12-21,64.64,64.85,64.1,64.32,57.15,319029
2021-12-22,64.36,64.93,64.17,64.83,57.6,170618
2021-12-23,64.96,65.22,64.8,64.92,57.68,123697
2021-12-27,64.925,65.56,64.8,65.53,58.22,129527
2021-12-28,65.615,66.08,65.515,66.02,58.66,151207
2021-12-29,66.065,66.53,65.93,66.38,58.98,111520
2021-12-30,66.3,66.33,65.69,65.75,58.73,123626
2021-12-31,65.77,66.38,65.73,66.32,59.24,150353
2022-01-03,65.75,66.055,65.08,65.96,58.92,339651
2022-01-04,65.87,67.125,65.87,66.46,59.36,217154
2022-01-05,66.775,67.95,66.755,67.42,60.22,262547
2022-01-06,67.49,67.92,66.985,67.44,60.24,273333
2022-01-07,67.25,67.75,66.995,67.54,60.33,276295
2022-01-10,67.68,67.82,66.87,67.02,59.86,281218
2022-01-11,67.18,67.34,66.25,67.25,60.07,325364
2022-01-12,67.18,67.52,66.845,67.37,60.18,263627
2022-01-13,67.28,67.76,67.095,67.67,60.44,288779
2022-01-14,67.61,68.14,67.09,68.09,60.82,219176
2022-01-18,67.26,67.395,66.665,67.38,60.19,265692
2022-01-19,67.5,68.165,67.5,67.62,60.4,176298
2022-01-20,67.575,68.175,67.48,67.75,60.52,387772
2022-01-21,68.27,69.465,68.235,68.37,61.07,459052
2022-01-24,68.605,68.9,66.06,67.61,60.39,443068
2022-01-25,67.225,67.3,66.24,66.98,59.83,390204
2022-01-26,66.43,67.47,66.12,66.6,59.49,380376
2022-01-27,67.22,68.62,66.95,67.43,60.23,727030
2022-01-28,65.05,66.5,63.93,66.41,59.32,883878
2022-01-31,65.81,67.36,65.76,67.01,59.86,356280
2022-02-01,66.83,67.3,66.09,66.67,59.55,188749
2022-02-02,66.7,68.05,66.56,67.88,60.63,244021
2022-02-03,67.83,68.445,67.49,67.98,60.72,207390
2022-02-04,67.41,68.09,66.86,67.0,59.85,162953
2022-02-07,67.32,67.755,66.815,67.5,60.29,186327
2022-02-08,67.735,68.28,67.42,68.02,60.76,213197
2022-02-09,68.38,68.56,67.8,67.95,60.69,149335
2022-02-10,67.245,67.89,66.575,66.79,59.66,343367
2022-02-11,67.12,67.37,66.56,66.65,59.53,313817
2022-02-14,66.955,66.955,65.37,66.1,59.04,241412
2022-02-15,66.27,66.73,65.58,65.88,58.85,227538
2022-02-16,66.17,66.505,65.21,65.72,58.7,276080
2022-02-17,65.55,66.31,65.14,66.09,59.03,257833
2022-02-18,66.0,66.515,65.63,66.01,58.96,194342
2022-02-22,66.54,66.665,65.84,66.48,59.38,241400
2022-02-23,66.705,66.98,66.205,66.29,59.21,200381
2022-02-24,65.37,65.82,63.215,64.65,57.75,362385
2022-02-25,65.1,66.785,65.06,66.76,59.63,276818
2022-02-28,65.41,65.93,64.68,65.47,58.48,243848
2022-03-01,65.24,65.42,64.13,64.31,57.44,331827
2022-03-02,64.46,65.03,64.01,64.71,57.8,330146
2022-03-03,65.195,65.48,64.66,64.89,57.96,187120
2022-03-04,64.095,64.25,63.22,63.81,57.0,510799
2022-03-07,63.405,63.495,62.195,62.52,55.84,470772
2022-03-08,62.42,62.79,60.71,60.8,54.31,819130
2022-03-09,61.715,62.05,61.085,61.28,54.74,704327
2022-03-10,60.675,60.675,59.68,60.16,53.74,279635
2022-03-11,60.48,61.065,59.02,59.12,52.81,484603
2022-03-14,59.5,60.405,59.245,59.31,52.98,577976
2022-03-15,59.845,61.25,59.62,61.16,54.63,317992
2022-03-16,61.46,62.155,61.03,61.97,55.35,479156
2022-03-17,61.97,62.765,61.37,62.28,55.63,136874
2022-03-18,61.7,61.86,60.96,61.55,54.98,230178
2022-03-21,61.61,61.88,61.1,61.36,54.81,170733
2022-03-22,61.7,61.7,60.88,61.57,55.0,156494
2022-03-23,61.67,62.01,60.73,60.77,54.28,181726
2022-03-24,61.04,61.165,60.3,60.85,54.35,334372
2022-03-25,61.015,61.785,60.97,61.5,54.93,285890
2022-03-28,61.665,61.805,61.15,61.54,54.97,295978
2022-03-29,62.09,63.07,62.09,63.07,56.34,219349
2022-03-30,62.62,62.855,62.17,62.76,56.37,166525
2022-03-31,62.8,63.13,62.61,62.82,56.43,165276
2022-04-01,63.08,63.62,62.23,63.52,57.05,174174
2022-04-04,63.42,63.42,62.475,63.03,56.61,177542
2022-04-05,62.885,63.75,62.86,63.04,56.62,104684
2022-04-06,63.07,63.575,62.755,63.21,56.78,229368
2022-04-07,63.14,63.18,61.95,62.89,56.49,465910
2022-04-08,63.16,63.585,62.8,63.4,56.95,209545
2022-04-11,63.78,64.145,63.32,63.44,56.98,179627
2022-04-12,64.06,64.3,63.295,63.67,57.19,239720
2022-04-13,63.67,64.06,63.43,63.85,57.35,181051
2022-04-14,64.03,64.215,63.68,63.73,57.24,162461
2022-04-18,63.62,64.02,63.265,63.6,57.13,159694
2022-04-19,63.675,65.5,63.65,65.2,58.56,176414
2022-04-20,65.24,65.96,65.24,65.74,59.05,202929
2022-04-21,65.87,66.33,65.765,65.84,59.14,234380
2022-04-22,65.97,66.08,65.04,65.08,58.46,181614
2022-04-25,65.465,65.96,64.525,65.79,59.09,409122
2022-04-26,65.71,66.005,64.045,64.05,57.53,515029
2022-04-27,65.555,65.58,63.94,64.04,57.52,411570
2022-04-28,64.165,66.33,64.12,66.26,59.52,338171
2022-04-29,65.855,66.03,64.4,64.47,57.91,339299
2022-05-02,65.25,65.48,62.99,63.79,57.3,388729
2022-05-03,64.07,64.885,63.65,64.69,58.11,317123
2022-05-04,64.6,66.28,64.44,66.2,59.46,350210
2022-05-05,65.73,66.05,64.825,65.26,58.62,281864
2022-05-06,65.09,65.94,64.755,65.73,59.04,303419
2022-05-09,65.42,66.695,65.245,66.29,59.54,462012
2022-05-10,66.955,67.91,65.735,65.92,59.21,449409
2022-05-11,65.72,66.39,65.45,65.58,58.9,349800
2022-05-12,65.64,65.9,64.85,65.68,58.99,376841
2022-05-13,65.815,66.45,65.36,66.38,59.62,401955
2022-05-16,66.39,66.43,65.81,66.16,59.43,351051
2022-05-17,66.225,66.24,64.56,65.72,59.03,641282
2022-05-18,65.36,65.36,60.73,60.97,54.76,667423
2022-05-19,60.44,61.53,59.68,61.11,54.89,516870
2022-05-20,61.355,61.37,60.42,61.17,54.94,817977
2022-05-23,62.01,62.41,61.595,62.05,55.73,364937
2022-05-24,62.1,63.035,61.985,63.02,56.61,365875
2022-05-25,62.9,62.9,61.79,62.39,56.04,501978
2022-05-26,62.53,63.215,62.445,62.49,56.13,289342
2022-05-27,62.92,63.76,62.51,63.75,57.26,302842
2022-05-31,63.67,63.935,62.63,63.53,57.06,316759
2022-06-01,63.5,63.74,62.095,62.92,56.52,387042
2022-06-02,62.965,63.06,61.47,63.04,56.62,357582
2022-06-03,62.925,63.01,62.075,62.42,56.07,369800
2022-06-06,62.65,63.11,62.22,62.45,56.09,268283
2022-06-07,62.025,63.33,61.89,63.25,56.81,243546
2022-06-08,63.02,63.12,62.515,62.59,56.22,194292
2022-06-09,62.605,63.0,61.2,61.23,55.0,409182
2022-06-10,60.525,61.3,60.1,60.78,54.59,489018
2022-06-13,60.2,60.285,58.98,59.21,53.18,261040
2022-06-14,59.515,59.6,57.83,58.48,52.53,216227
2022-06-15,58.94,59.88,58.29,59.05,53.04,276385
2022-06-16,58.4,59.17,58.02,58.61,52.64,380822
2022-06-17,58.69,59.19,58.12,58.83,52.84,228300
2022-06-21,59.32,60.075,58.31,59.81,53.72,233559
2022-06-22,59.86,60.74,59.66,60.27,54.14,643785
2022-06-23,60.62,61.375,60.62,61.04,54.83,365199
2022-06-24,61.59,62.705,61.38,62.66,56.28,188347
2022-06-27,62.19,62.79,62.1,62.65,56.27,176530
2022-06-28,62.89,63.17,61.555,61.73,55.45,520207
2022-06-29,61.605,62.355,61.49,62.04,56.04,316654
2022-06-30,61.64,62.505,61.51,62.09,56.09,182607
2022-07-01,61.735,63.62,61.705,63.365,57.24,488646
2022-07-05,63.17,63.18,61.14,62.48,56.44,269298
2022-07-06,62.58,62.91,62.15,62.41,56.38,510086
2022-07-07,62.15,62.625,61.78,62.36,56.33,322704
2022-07-08,62.42,62.83,62.175,62.43,56.4,162619
